yorum sayýsý,yorumlar:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ýki gün içinde elimde oldu ve nfc li aldým neden bu zamana kadar almamýþým dedirtti aktif gürültü engelleyicisi çok iyi daha önce hiç kullanmamýþtým airpods ama bu çok iyi kulaðýmdan düþer diye korkuyordum ama herhangi bir düþme vs olmadý çok memnunum iþ ortamýnda çok konforlu kullanýmý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,orijinal ürün geldi gürültü engelleme modundan çok memnun kaldým dinleme kalitenizi arttýrýyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Teslimat hýzlýydý. Ürün zaten apple kalitesi, aktif gürültü engelleme çok iyi çalýþýyor. Sorunsuz bir alýþveriþ oldu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"MUAZZAM BÝR ÞEY. o tüm sesi kesiþi, dünyadan uzaklaþtýrýþý þaka gibi. Pro belki daha iyi olabilir silikonlu falan ama silikondan emin olamadýðým için bunu aldým muazzammmmm arkadaþlar muazzammm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"2 günde geldi ve ses kalitesi çok güzel, iyi ki ANC’li almýþým gerçekten sesi sýfýrlýyor, normal ve ANC’li arasýnda kalan varsa kesinlikle bunu alsýn.Kulaða da çok rahat oturuyor yok gibi resmen parasýný sonuna kadar hak ediyor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sipariþi verdim ertesi gün öðlen ürün bana ulaþtý. Harika. Hýzlý gönderim güvenli paketleme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Silikonlu kulaklýktan geçtim rahatsýz eder falan diye düþünüyordum ama çok rahat ve çok kaliteli ses veriyo ayriyeten gürültü engelleme özelliði çok iyi bence 2 bin tl farkla bunu almak daha mantýklý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Yurtiçi kargo ile Gel al noktasýndan sipariþ verdim. Ertesi gün kargom ulaþtý. Gerçekten çok iyi hizmet ve kargo. Kulaklýk çok iyi ve anc özelliði iyi çalýþýyor. Orjinal Apple ürüne. Alacaklar þüphe etmesin gönül rahatlýðý ile alabilir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Niþanlýma hediye olarak aldým önceki AirPodsumuzda en büyük problemimiz kulaklýkla konuþurken sesin çok kalitesiz ve boðuk gelmesiydi bu ürün gerçekten beklentimizi karþýladý ses kalitesi çok çok iyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1 hafta oldu alalý ürün kalitesi harika fiyatý Apple sitesin de ki fiyata göre gayet iyi anc özelliði mükemmel dýþardan gelen bir ses veya siz kulaklýk takýlýyken konuþursanýz ses otomatik kýsýlýyor uzun bir araþtýrma sonucu güzel karar verip almýþým gözü kapalý tavsiye ederim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,yemin ederim hayat kalitem arttý çokkkk iyi alýn aldýrýn hiçbir uðultuyu gürültüyü duymuyorum ses kalitesi de muazzam ben bu kulaklýk olmadan nasýl yasýyormusum dedirttii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Þimdiye kadar almadýðýma piþmaným çok kullanýþlý ses kalitesi güzel ayrýca sipariþ verdiðimin ertesi gün elime ulaþtý tedarikçi firmaya teþekkür ederim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Yüksek sesli makinalarýn yanýnda çalýþýyorum anc özelliði muazzam çalýþýyor ürün orjinal þüpheniz olmasýn ses kalitesi harika mikrofonu telefonla konuþurcasýna çok net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Ürün beklentimin çok çok üstünde. Gürültü engelleme, þeffaf mod, uzamsal ses modu vs gibi deneyimler mükemmel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Bayýldým, ANC özelliði biraz fanusta gibi hissediyor ama kalabalýk ortamlarda çok iþe yarayacak bir özellik. Genel olarak ses kalitesi, batarya süresini de gayet yeterli buldum. Paketleme de çok iyiydi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"anc özelliði çok güzel dýs sesi mükemmel kesiyor , genel olarak kulaklýktan çok memmun kaldim gönül rahatlýðýyla tavsiye ederim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ürün çok hýzlý geldi Trendyol kalitesi þaþmaz Ýstanbul Siirt arasý 2 günde geldi helal olsun ürünü anlatmama gerek yok Apple kalitesi bunun yerine 3 koyup pro 2 alýn anc güzel pro 2 kadar deðil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Airpods 2 vardý bende o bozuldu bunu aldým aradaki fark beni þok etti diðeriyle telefonla konuþamuyodum zaten bu kulaðýna takar takmaz sanki kulaðýn týkanmýþ hissi veriyo ses kalitesi inanýlmaz güzel alýn aldýrýn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Daha önce ANC kullanmamýþ biri olarak yazýyorum; Birþey dinlemenize gerek yok, doðru ayarla iki kulaklýðý taktýðýnýz anda dünyadan izole ediyor.. Ses kalitesi tartýþmaya kapalý. Kutunun boyutu çok küçük, her an kaybolacak hissi veriyor. Son ses açtýðýnýzda doðal olarak dýþarýya da výzýltý kývamýnda duyuluyor dinlediðiniz müzik ama kafanýzýn içinde Bostancý Gösteri Merkezinde Þebnem Ferah konseri ortamý yapýyor..:) Ben çok beðendim ve tavsiye ederim..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Sorunsuz hasarsýz geldi gürültü engelleme özelliði benim için ideal iþ yerinde klima sesini üretim sesini bile kesti kýlýfýmý da hemen aldým çok minnoþ oldu ,,,,,,,,,,,,,,,,,,,,,sss,s,s,s,s,s,s,s,s,s
38,"Yýllardýr beats ve earpods kullanýyordum ilk airpodsum bu oldu ve ANC olayý çok baþarýlý çalýþýyor, ses kalitesi desen zaten muazzam, bu fiyatý hak eder mi tartýþýlýr ama kulaklýk harika",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Hýzlý ve saðlam geldi orjinal ürün gayet memnunum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Normalde yorum deðerlendirme falan yapmam ama Müthiþ müthiþ bayýldým harika bir kulaklýk dýþarýdaki hiçbir sesi duymuyorsunuz dizi film müziðinizden baþka bayýldým bu ürüne biraz tuzlu ama kesinlikle deðer bir Air pods alacaksanýz kesssinlikle pro4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Kapaðý oynuyor, media markt çalýþaný ile görüþtüðümde Apple a yönlendirdiler. Apple da çalýþan kiþilerse bunun garanti kapsamýnda olmadýðýný söyledi.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Androide baðlanmýyor iþimi görmedi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Her þey çok çabuk oldu, kargo iyi paketlenmiþti, mediamarktan sms de geldi, güzel bir þekilde elime ulaþtý. Biraz fazla kullanýnca kulaðým acýyor, ama diðer modellerdeki silikon olunca da kulaðýmdan düþüyor, yapacak bir þey yok ses kalitesi süper, þarj da iyi dayanýyor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ürünü 2.5 aydýr kullanýyorum ve ben çok beðendim. Diðer prolarda olan iç kýsýmdaki þeyle kullanamýyorum. Bu benim için çok iyi. Almýþken güzelini almak istedim. Deðiþik modlarý var. Aktif gürültü engelleme özelliðini ister kullanýr ister kullanmazsýnýz yani kapatabiliyorsunuz. Yok diyenler kulaklýðý kullanmayý keþfedemeyenler muhtemelen. Sohbet farkýndalýðý diye ayrýca bir seçenek de var biriyle konuþurken ya da biri size bir þey söylerse otomatik sesi azaltýyor duyabilin diye. Açýkçasý ben baya beðendim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,yorunlarý okuduðumda çok korkmuþtum emin olamamýþtým alýp almamak konusunda ama meðersem yanýlmýþým harika bir ürün harika ses kalitesi hiç bir þekilde kulak aðrýsýda yapmýyor herkese tavsiye ederim ama herkesinde bildiði gibi apple markasýnýn tek eksiði ürünün içine þarj kablosu koymuyorlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Kargolama çok iyiydi. Ürünün kalitesi deseniz inanýlmaz, tragus ve forward helix piercingim olmasýna raðmen çok rahat kullanýyorum. Gürültü engelleme modunun da bu kadar fark edeceðini gerçekten düþünmüyordum, üstüne biraz daha eklenip alýnýr mý derseniz kesinlikle alýnýr: özellikle baþ aðrýsý gibi durumlarda çok iþe yarýyor. Fiyatý ise bir kulaklýk için biraz tuzlu, ama kesinlikle verilir. Sorunsuz kullanýyorum. Þarjý da 3 gün rahat götürüyor. Apple kalitesi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Çok güzel geldi ve bundan önce düz airpodos 4üm vardý. Fiyat farkýný gereksiz buluyordum. Arkadaþýmda bunu denedikten sonra hemen aldým yolda ki trafik sesi gereksiz mýrýltýlar hepsini o kadar güzel kesiyor ki. Ama rüzgar kuþ sesini kesmiyor mesela o yüzden yürüyüþlerde filan çok güzel oluyor. Hatta çýkardýðýnýzda kullaklýðý çýkardýðýnýzda ne kadar gürültü kirliliði içerisibde yaþadýðýöýzý fark ediyorum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Ürünle ilgili bana uygun (kulak yapýma) olmadýðýndan iade talebinde bulundum,hemen yardýmcý oldular teþekkür ediyorum , gönül rahatlýðýyla ürün alabileceðiniz bir yer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bir sürü süper özelliði var ama kulaðýmdan düþüyor slikonlu alsaymýþým daha iyiymiþ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gürültü engelleme özelliði çok iyi. Konuþurkende müzik dinlerken de ses iyiydi. Paketleme de güzel sorunsuz geldi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Oðluma aldým severek kullanýyor halinden çok memnun sadece kafa hareketlerini kullanmakta zorlanýyormuþ onun dýþýnda memnun pahalý ama kaliteli.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,müzik dinlerken sesi gayet tatmin edici ve biriyle konuþurken otomatik sesi kýsýyor gayet kullanýþlý severek kullanýyorum hemen kýlýf da aldým çok güzel oldu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Kulakligimi 27 Aralýk tarihinde 8300 TL'ye aldým o tarihten bu yana aktif olarak kullanýyorum. Ürün orijinal Apple üzerinden kontrol ettim garantisini baþlattým ve Apple 15 telefonuma Bul uygulamasýna kayýtlý cihaz olarak yükledim. Ürün özelliklerine gelecek olursam ürün küçük kulaða tam oturuyor diyenlere katýlmýyorum. Koþmasam da spor yapmasam da kafamý aktif olarak kullanmasam da kulaðýmda düþtüðü zamanlar oluyor. Ama sürekli sürekli de düþmüyor. Uzun süre takýnca kulaðý çok acýtmýyor ama bir noktadan sonra rahatsýz ediyor. Aktif gürültü önleme özelliðini baþarýlý buldum özellikle otobüslerde motor sesini, klima sesine, yoldan geçen arabalarýn sesine vesaire on seviyeden iki seviyeye indiriyor. Ýnsan seslerinde ise on seviyeden dört seviyeye indiriyor. Þu þekilde örnek vereyim otobüste giderken aktif gürültü önleme özelliðini kullanmadan tüm sesleri bastýrmasý için sesi %100 açmanýz gerekiyor ama aktif gürültü önleme özelliði etkinken %30'da açsanýzda tüm sesler kesiliyor. Þarj süresi ise çok rahat iki gün gidiyor üç günü zorluyor benim günde üç saatim trafikte geçiyor aktif gürültü önleme özelliði açýkken kulaklýðý sürekli kullanýyorum onun dýþýnda ofisteyken ve ders çalýþýyorken de aktif halde kullanýyorum. Telefonla konuþurken karþý tarafa sesim gayet net gidiyor herhangi bir sorun yaþamýyorum ama otobüste falan konuþurken karþý taraf sesimi duymakta zorlanýyor sessiz ortamlarda daha baþarýlý.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Eski AirPods‘um da gürültü engelleme özelliði yoktu ses kalitesi gayet iyiydi AirPods 4 aktif gürültü engelleme özelliði gerçekten harika bir þeymiþ bu kadar fark edeceðini düþünmemiþtim ürünü çok beðendim ses kalitesi de gayet mükemmel telefonda konuþtuðum zaman da asla sýkýntý yaþamýyorum sadece yalnýz baþýma yolda yürürken aktif gürültü engelleme özelliðini açamýyorum baþýma bir þey gelebilir diye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Çok güzel. 1 haftadýr kullanýyorum þarjý yeterince iyi. Mikrofon kalitesi de muazzam. Fakat diðer anc olmayan model ile aralarýnda pek bi fark yok. Gürültü engelleme benim için önemli diyorsanýz güzel ürün. Onun dýþýnda diðer versiyonunu almanýz daha mantýklý.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Çok kaliteli airpods pro da kullandým gürültü engelleme kýyaslamasý yapýlacak olursa proya biraz yaklaþmýþ bi pro deðil ama toplu taþýmada vb. Yerlerde iþ görür ders çalýþayým kafeye gideyim kimseyi duymayayým diyorsan yetersiz pro almalýsýn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Ürün hasarlý geldi. Müzik vs dinlerken arama geldiðinde baðlantý kopuyor. Ýade talep attim. Yalnýzca sol kulaklýk deðiþimi yapýldý. Ancak sorun hala devam ediyor. Bozuk olan bir ürünün tamiriyle uðraþýyorum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Kalitesi kulaða oturuþu çok güzel silikon baþlýk sevmediðim için tercih ettim özellikleri gayet güzel çalýþýyor bi insanla konuþurken sesi kendisi kýsýyor felan çok güzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Aktif gürültü engelleme (ANC), net ses kalitesi ve uzun pil ömrüyle günlük kullanýmda konforlu ve dikkat daðýtmýyor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Ürün silikonsuz kulaklýklar kategorisinde olmasýna raðmen yeni eklenen gürültü engelleme özelliði çok iyi çalýþýyor. Boyutlarý oldukça uygun kulakta takýlý olduðunu hissetmiyorsunuz. Parasýný hakeden bir ürün ve iyi bir ses ve mikrofon kalitesine sahip. Kutudan þarj kablosu çýkmýyor, ürün özelliklerinde yazýyor ama yinede buna dikkat edin yazmak istedim. Kargo hýzlýydý. Media Markt satýcýsý sorunsuzdu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"çok güzel ve gürültülü ortamlarda müzik dinlemek için harika. hýzlý geldi. Ancak, bir android telefonum var bu yüzden gürültü engelleme ayarýný deðiþtiremedim bu yüzden tüm gürültüyü engellemiyor. Sadece beyaz gürültüyü engelliyor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Ýlk defa AirPods aldým, ses kalitesi gayet güzel.Silikonlu olmamasýna raðmen aktif gürültü engelleyici modu gayet güzel çalýþýyor.Dýþarda ki sesi %70 oranýnda kesiyor.Ýki beðenmedigim yönü var, birincisi kulaktan düþecek hissiyati çok veriyor sürekli elinizle düzeltme ihtiyacý duyuyorsunuz.Ýkinci sorun ise kutu çok küçük olduðu için kutunun içinden kulaklýðý çýkartýrken zorlanýyorsunuz.O yüzden 1 puaný bu iki sebepten dolayý kýrdým.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Ürün muazzam derecede. Uzun zamandýr 3. Nesil kullanýyordum, Onu kýz kardeþime verdim. Aktif gürültü engelleme özelliði bir tek pro modellerinde olduðundan kauçuklarýndan dolayý almak istemiyordum. 4. Nesile de eklenince kaçýrmadan aldým. Ancak ben aldýktan sonra fiyatý düþtü bu durum açýkçasý beni çok üzdü.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Ürünün kalitesi, sesi çok iyi ama 24 aralýkta sipariþ vermene raðmen garanti baþlangýcý 11 Kasým görünüyor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Orjinal ürün geldi. aktif gürültü engelleyici modu güzel deðil arkadaþlar gereksiz. baþýn aðrýyormuþ yada kulaðýn týkanmýþ gibi hissettiriyor. allahtan kapatýlabiliyormuþ. bence özellikli olandan almayýn gerek yok. keþke birisi bana bunu söyleseydi. 4-5 günde geldi. Satýcýya güvenebilirsiniz. Þarj kablosu vs içinde yok bilginiz olsun. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Kulaðýnýza taktýðýnýzda ses boðuk gibi oda gürültü engelleme özelliðinden oluyormuþ baþka bir husus yok bence güzel bir ürün orijinal mi deðil mi diye çok tereddütlü aldým ama orijinal ve kablosu yok tavsiye ederim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Ürünü diðerleriyle baya karþýlaþtýrdým özellikle anc olduðu için tercih ettim fakat bu yorumu satýcý deðil direk Apple deðerlendirmeli içinde þarj baþlýðýný geçtim baðlantý kablosu bile yok anlayamadýðým siz bua ürünleri kaça satarsanýz satýn zaten alýnýyor. Þunun içine adamakýllý bütün ekipmaný koyun da para verdik aldýk iþimiz görüldü diyelim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Ürünü sadece kutuya koymuþ göndermiþler.Kim bilir gelene kadar kaç bin defa saða sola çarptý durdu insan þunu bi balonlu poþete sarar. Teknosa sana yakýþmadý 1 yýldýz vermiþtim ama vicdaným el vermedi 4 yýldýz olarak düzelttim.Kulaklýða bayýldýmmmm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,bul uygulamasýnda gozukmuyor sanýrým telefonu guncellemedigim icin ama orjinal bence garantisi falan gozukuyo yani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Ya ürünün kabýný baþkasýndan satýn alýyorlar ya da ürünün istiflemesini özensiz bir þekilde yapýyorlar. Fotoðraflarda da görebilirsiniz, kesinlikle kutu kötü þeyler yaþamýþ. Sorun kargoyla ilgili deðil çok bariz. Garip bir þekilde ne kulaklýkta ne de þarj kutusunda bir hata göremedim. Çok büyük ihtimalle baþka ürüne kutulama yapýyor aldýðým firma. Garanti de sýnýrlý iki yýllýk garanti þeklinde gözüküyor ve sipariþimden günler öncesinde baþlamýþ :) Fatura tarihiyle ayný deðil. Yani ürün de kutu da sýfýr deðil. Bir haftadýr kullanmama raðmen bir sorunla karþýlaþmadým kulaklýkla ilgili. Her özelliði gayet iyi çalýþýyor. Ancak bu demek deðil ki sorun çýkmasýn. Dikkat edin, gerekirse 500-700 fazla verin kendinizi garantiye alýn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ses kalitesi cok iyi gürültü engelleme de harika cidden ama sarjý benimkinde mi bir sorun var anlamadým cok gitmedi bence 5-6 saat aralýksýz kullandým bitti kutusunda da hemen sarj oluyor ama önceden kullandýgým baska markalarda daha uzun gidiyodu acýkcasý yine de güzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"kulaða büyük geliyor, sürekli kulaktan düþecekmiþ gibi bir hissi var, beðenmedim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,önceden pro kullanýyordum gürültü engellemesi pro kadar basarýlý deðil bir de kauçuk olmamasý biraz kulak acýtýyor tragus piercingim olduðu için harici güzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Ürün güzel geldi, ancak 3 ay sonra kulaklýðýn bir tanesi þarj olmamaya baþladý. Garantiden halletmek zorunda kaldým. Bu kadar kýsa sürede arýzalanmasý yüzünden 1 puan verdim.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Gürültü engelleme özelliði müthiþþþ. Ses seviyeside gayet iyi. Þarký dinlerken iyi hissettiriyor. Mikrofon ve hoparlörüde çok iyi. Ama eðer pubg oynuyosanýz sað sol seslerini ayýrt etmek çok zor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Karþýlama çok özensizdi kutusu yamuk geldi kulaðý biraz aðrýtýyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Mikrofon kalitesi beklentimin altýnda. Onun dýþýndaki tüm özelliklerinden memnunum.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Kulaklýkta silikon olmadýðý için aktif gürültü engelleme çok verimli çalýþmýyor. Ayrýca benim sol kulaðýma tam oturmuyor düþüyor. Alýrken bunu göz önünde bulundurun eðer bu özellik için alýyorsanýz gidip airpods pro 2. Nesil alabilirsiniz. Yüksek seste dýþarýya ses veriyor. Eðer buna takýlmýyorsanýz düz airpods 4 alabilirsiniz fazla para vermenize gerek yok.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Ürünün kendisi birçok yorumda ifade edildiði gibi etkileyici. Kulakiçi kullanýmý hijyenik nedenlerle tercih etmiyorum hem de kulaðýmý yoran bir tarafý var, komple izolasyonu da sevmiyorum. Bu nedenle pro deðil diðer apple modellerine veya farklý markalara yönelmiþtim. Bir apple kullanýcýsý olarak bu model zaman içerisinde öne çýktý. Aktif gürültü engelleme özelliði ile istediðin zaman ortamdan soyutlanmayý transparency özelliðini açarak ortamdan soyutlanmayý iptal etme imkanýný sunuyor. Ben sevdim ve pili de gayet iyi seviyelerde görünüyor. Puaný kýrmamýn nedeni satýcýnýn ürünü jelatinsiz göndermesi. Bende refurbished veya kullanýlmýþ hissi uyandýrdý. Neyse ki faturayý beyan ederek garanti süresini yenileyebildim. Ancak kargolayan þirketin kargo takibinde gördüðüm kadarýyla tr.ndyl ya da ticari unvanýndan farklý isimde olmasý yani satýcý ty zannederken farklý bir satýcýdan gelmesi hem de jelatinsiz gelmesi bende hayal kýrýklýðý yaþattý. Neyse ki deneyim olarak bir problem yaþamadým.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,anc özelliði çok iyi sokakta taktýðýmda tüm insanlarýn konuþma sesini araba seslerini vs diðer tüm gürültüleri engelledi asla gelmiyor ama anc özelliði kapaliyken sokak seslerini alýyor normal kulaklýktan çok daha fazla bir þekilde öyle ki çalan müziði duyamýyorum bile. ayrýca þarjý çok az dayanýyor sürekli kulaðýnda kulaklýk olan biriyseniz yetmez size þahsen bana yetmedi. hem kulaklýðýn þarjý hemde kutunun þarjý yetmiyor sanki 1 kere taktim 1 film izledim biraz telefonda dolastim ve bir anda þarji bitmiþ kutuya koydum bir kac gun sonra takayim dedim tekrar ama þarj olmamýþtý kutusunda da hýzlý þarj olmuyor. ilk defa airpods kullandým o kadar da vaow olmadým. çok çok daha uyguna max bin tlye ayný özellikleri olan hatta daha iyi kulaklýklar bulabilirsiniz sýrf adý var diye alýnýyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
